Year_Month,Card Type,Travel_Mode,Trip
Jul-16,Adult,Train,22145198
Jul-16,Adult,Bus,13146432
Jul-16,Adult,Light Rail,595732
Jul-16,Adult,Ferry,861272
Jul-16,Child/Youth,Train,1107160
Jul-16,Child/Youth,Bus,1079640
Jul-16,Child/Youth,Light Rail,48667
Jul-16,Child/Youth,Ferry,108450
Jul-16,Concession,Train,2105013
Jul-16,Concession,Bus,1845322
Jul-16,Concession,Light Rail,27107
Jul-16,Concession,Ferry,71362
Jul-16,Other,Train,264074
Jul-16,Other,Bus,64989
Jul-16,Other,Light Rail,2
Jul-16,Other,Ferry,5251
Jul-16,Free Opal,Train,24395
Jul-16,Free Opal,Bus,25228
Jul-16,Free Opal,Light Rail,693
7/1/16,Free Opal,Ferry,1317
Jul-16,Other,Light Rail,24913
Jul-16,School Opal,Train,511309
Jul-16,School Opal,Bus,1297240
Jul-16,School Opal,Light Rail,994
Jul-16,School Opal,Ferry,1295
Jul-16,Gold Opal,Train,2567262
Jul-16,Gold Opal,Bus,3739658
Jul-16,Gold Opal,Light Rail,128228
Jul-16,Gold Opal,Ferry,152188
Jul-16,Opal Single Ticket,Ferry,10030
Jul-16,Opal Single Ticket,Ferry,2547
Jul-16,Opal Single Ticket,Light Rail,1094
Jul-16,Opal Single Ticket,Light Rail,302
Jul-16,Opal Single Ticket,Train,75274
Jul-16,Opal Single Ticket,Train,19564
Aug-16,Adult,Train,24129963
Aug-16,Adult,Bus,14080864
Aug-16,Adult,Light Rail,626133
Aug-16,Adult,Ferry,773097
Aug-16,Adult,Bus,213548
Aug-16,Adult,Bus,149890
Aug-16,Adult,Bus,60625
Aug-16,Child/Youth,Train,946988
Aug-16,Child/Youth,Bus,1034488
Aug-16,Child/Youth,Light Rail,40298
Aug-16,Child/Youth,Ferry,81256
Aug-16,Opal Single Ticket,Bus,85540
Aug-16,Opal Single Ticket,Bus,52781
Aug-16,Opal Single Ticket,Bus,15864
Aug-16,Concession,Train,2656456
Aug-16,Concession,Bus,2168046
Aug-16,Concession,Light Rail,31569
Aug-16,Concession,Ferry,25177
Aug-16,Other,Train,304666
Aug-16,Other,Bus,73112
Aug-16,Other,Ferry,4780
Aug-16,Free Opal,Train,30830
Aug-16,Free Opal,Bus,32202
Aug-16,Free Opal,Light Rail,888
Aug-16,Free Opal,Ferry,1728
Aug-16,School Opal,Train,1125676
Aug-16,School Opal,Bus,3135595
Aug-16,School Opal,Light Rail,4940
Aug-16,School Opal,Ferry,2701
Aug-16,Gold Opal,Train,2849358
Aug-16,Gold Opal,Bus,4108217
Aug-16,Gold Opal,Light Rail,134404
Aug-16,Gold Opal,Ferry,158521
Aug-16,Opal Single Ticket,Ferry,39692
Aug-16,Opal Single Ticket,Ferry,8103
Aug-16,Opal Single Ticket,Light Rail,2068
Aug-16,Opal Single Ticket,Light Rail,500
Aug-16,Opal Single Ticket,Train,296696
Aug-16,Opal Single Ticket,Train,53347
Sep-16,Adult,Train,23062165
Sep-16,Adult,Bus,13283356
Sep-16,Adult,Light Rail,545779
Sep-16,Adult,Ferry,783747
Sep-16,Adult,Bus,185031
Sep-16,Adult,Bus,122355
Sep-16,Adult,Bus,50083
Sep-16,Child/Youth,Train,1094712
Sep-16,Child/Youth,Bus,1130778
Sep-16,Child/Youth,Light Rail,41089
Sep-16,Child/Youth,Ferry,103302
Sep-16,Opal Single Ticket,Bus,71536
Sep-16,Opal Single Ticket,Bus,47969
Sep-16,Opal Single Ticket,Bus,14739
Sep-16,Concession,Train,2131790
Sep-16,Concession,Bus,1736089
Sep-16,Concession,Light Rail,26988
Sep-16,Concession,Ferry,25070
