_id,Year_Month,Route,Card Type,Trip
1,2024-01,118F Newcastle,Adult,9507
2,2024-01,118F Newcastle,CTP,20859
3,2024-01,118F Newcastle,Child/Youth,3731
4,2024-01,118F Newcastle,Concession,526
5,2024-01,118F Newcastle,Day Pass without SAF,3
6,2024-01,118F Newcastle,Employee,249
7,2024-01,118F Newcastle,Free Travel,420
8,2024-01,118F Newcastle,School Student,10
9,2024-01,118F Newcastle,Senior/Pensioner,11400
10,2024-01,F1 Manly,Adult,217262
11,2024-01,F1 Manly,CTP,417439
12,2024-01,F1 Manly,Child/Youth,69775
13,2024-01,F1 Manly,Concession,8549
14,2024-01,F1 Manly,Day Pass without SAF,40
15,2024-01,F1 Manly,Employee,1822
16,2024-01,F1 Manly,Free Travel,630
17,2024-01,F1 Manly,School Student,227
18,2024-01,F1 Manly,Senior/Pensioner,75252
19,2024-01,F1 Manly,Sgl Trip Ferry Adult,17384
20,2024-01,F1 Manly,Sgl Trip Ferry Child/Youth,11881
21,2024-01,F2 Taronga Zoo,Adult,41952
22,2024-01,F2 Taronga Zoo,CTP,76417
23,2024-01,F2 Taronga Zoo,Child/Youth,19665
24,2024-01,F2 Taronga Zoo,Concession,1449
25,2024-01,F2 Taronga Zoo,Day Pass without SAF,0
26,2024-01,F2 Taronga Zoo,Employee,282
27,2024-01,F2 Taronga Zoo,Free Travel,70
28,2024-01,F2 Taronga Zoo,School Student,34
29,2024-01,F2 Taronga Zoo,Senior/Pensioner,9303
30,2024-01,F2 Taronga Zoo,Sgl Trip Ferry Adult,5285
31,2024-01,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,3593
32,2024-01,F3 Parramatta River,Adult,72415
33,2024-01,F3 Parramatta River,CTP,100538
34,2024-01,F3 Parramatta River,Child/Youth,22551
35,2024-01,F3 Parramatta River,Concession,3071
36,2024-01,F3 Parramatta River,Day Pass without SAF,4
37,2024-01,F3 Parramatta River,Employee,914
38,2024-01,F3 Parramatta River,Free Travel,243
39,2024-01,F3 Parramatta River,School Student,111
40,2024-01,F3 Parramatta River,Senior/Pensioner,34075
41,2024-01,F3 Parramatta River,Sgl Trip Ferry Adult,6122
42,2024-01,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2929
43,2024-01,F4 Pyrmont Bay,Adult,77396
44,2024-01,F4 Pyrmont Bay,CTP,132982
45,2024-01,F4 Pyrmont Bay,Child/Youth,37955
46,2024-01,F4 Pyrmont Bay,Concession,2597
47,2024-01,F4 Pyrmont Bay,Day Pass Child/Youth w/o SAF,1
48,2024-01,F4 Pyrmont Bay,Day Pass without SAF,4
49,2024-01,F4 Pyrmont Bay,Employee,765
50,2024-01,F4 Pyrmont Bay,Free Travel,269
51,2024-01,F4 Pyrmont Bay,School Student,143
52,2024-01,F4 Pyrmont Bay,Senior/Pensioner,32674
53,2024-01,F4 Pyrmont Bay,Sgl Trip Ferry Adult,6781
54,2024-01,F4 Pyrmont Bay,Sgl Trip Ferry Child/Youth,5549
55,2024-01,F5 Neutral Bay,Adult,12226
56,2024-01,F5 Neutral Bay,CTP,23641
57,2024-01,F5 Neutral Bay,Child/Youth,2269
58,2024-01,F5 Neutral Bay,Concession,557
59,2024-01,F5 Neutral Bay,Day Pass without SAF,0
60,2024-01,F5 Neutral Bay,Employee,154
61,2024-01,F5 Neutral Bay,Free Travel,83
62,2024-01,F5 Neutral Bay,School Student,11
63,2024-01,F5 Neutral Bay,Senior/Pensioner,8007
64,2024-01,F5 Neutral Bay,Sgl Trip Ferry Adult,510
65,2024-01,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,322
66,2024-01,F6 Mosman Bay,Adult,15629
67,2024-01,F6 Mosman Bay,CTP,28999
68,2024-01,F6 Mosman Bay,Child/Youth,3230
69,2024-01,F6 Mosman Bay,Concession,870
70,2024-01,F6 Mosman Bay,Day Pass without SAF,0
71,2024-01,F6 Mosman Bay,Employee,146
72,2024-01,F6 Mosman Bay,Free Travel,74
73,2024-01,F6 Mosman Bay,School Student,14
74,2024-01,F6 Mosman Bay,Senior/Pensioner,11406
75,2024-01,F6 Mosman Bay,Sgl Trip Ferry Adult,703
76,2024-01,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,537
77,2024-01,F7 Double Bay,Adult,4752
78,2024-01,F7 Double Bay,CTP,11370
79,2024-01,F7 Double Bay,Child/Youth,974
80,2024-01,F7 Double Bay,Concession,99
81,2024-01,F7 Double Bay,Day Pass without SAF,0
82,2024-01,F7 Double Bay,Employee,22
83,2024-01,F7 Double Bay,Free Travel,10
84,2024-01,F7 Double Bay,School Student,2
85,2024-01,F7 Double Bay,Senior/Pensioner,3175
86,2024-01,F7 Double Bay,Sgl Trip Ferry Adult,153
87,2024-01,F7 Double Bay,Sgl Trip Ferry Child/Youth,77
88,2024-01,F8 Cockatoo Island,Adult,13417
89,2024-01,F8 Cockatoo Island,CTP,21516
90,2024-01,F8 Cockatoo Island,Child/Youth,4193
91,2024-01,F8 Cockatoo Island,Concession,651
92,2024-01,F8 Cockatoo Island,Day Pass without SAF,0
93,2024-01,F8 Cockatoo Island,Employee,125
94,2024-01,F8 Cockatoo Island,Free Travel,68
95,2024-01,F8 Cockatoo Island,School Student,34
96,2024-01,F8 Cockatoo Island,Senior/Pensioner,8342
97,2024-01,F8 Cockatoo Island,Sgl Trip Ferry Adult,424
98,2024-01,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,385
99,2024-01,F9 Watsons Bay,Adult,41482
100,2024-01,F9 Watsons Bay,CTP,85636
101,2024-01,F9 Watsons Bay,Child/Youth,12025
102,2024-01,F9 Watsons Bay,Concession,1328
103,2024-01,F9 Watsons Bay,Day Pass without SAF,4
104,2024-01,F9 Watsons Bay,Employee,312
105,2024-01,F9 Watsons Bay,Free Travel,110
106,2024-01,F9 Watsons Bay,School Student,33
107,2024-01,F9 Watsons Bay,Senior/Pensioner,18986
108,2024-01,F9 Watsons Bay,Sgl Trip Ferry Adult,2164
109,2024-01,F9 Watsons Bay,Sgl Trip Ferry Child/Youth,1211
110,2024-01,UNALLOCATED unallocated trips,Adult,5
111,2024-01,UNALLOCATED unallocated trips,CTP,8
112,2024-01,UNALLOCATED unallocated trips,Child/Youth,1
113,2024-01,UNALLOCATED unallocated trips,Senior/Pensioner,1
114,2024-02,118F Newcastle,Adult,7374
115,2024-02,118F Newcastle,CTP,15137
116,2024-02,118F Newcastle,Child/Youth,892
117,2024-02,118F Newcastle,Concession,612
118,2024-02,118F Newcastle,Employee,265
119,2024-02,118F Newcastle,Free Travel,321
120,2024-02,118F Newcastle,School Student,402
121,2024-02,118F Newcastle,Senior/Pensioner,9138
122,2024-02,F1 Manly,Adult,189793
123,2024-02,F1 Manly,CTP,380419
124,2024-02,F1 Manly,Child/Youth,21894
125,2024-02,F1 Manly,Concession,9029
126,2024-02,F1 Manly,Day Pass without SAF,39
127,2024-02,F1 Manly,Employee,1484
128,2024-02,F1 Manly,Free Travel,532
129,2024-02,F1 Manly,School Student,2228
130,2024-02,F1 Manly,Senior/Pensioner,64759
131,2024-02,F1 Manly,Sgl Trip Ferry Adult,12841
132,2024-02,F1 Manly,Sgl Trip Ferry Child/Youth,4225
133,2024-02,F2 Taronga Zoo,Adult,37380
134,2024-02,F2 Taronga Zoo,CTP,70382
135,2024-02,F2 Taronga Zoo,Child/Youth,8262
136,2024-02,F2 Taronga Zoo,Concession,1424
137,2024-02,F2 Taronga Zoo,Employee,139
138,2024-02,F2 Taronga Zoo,Free Travel,65
139,2024-02,F2 Taronga Zoo,School Student,494
140,2024-02,F2 Taronga Zoo,Senior/Pensioner,7183
141,2024-02,F2 Taronga Zoo,Sgl Trip Ferry Adult,4354
142,2024-02,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1777
143,2024-02,F3 Parramatta River,Adult,63931
144,2024-02,F3 Parramatta River,CTP,91238
145,2024-02,F3 Parramatta River,Child/Youth,7546
146,2024-02,F3 Parramatta River,Concession,2936
147,2024-02,F3 Parramatta River,Day Pass without SAF,2
148,2024-02,F3 Parramatta River,Employee,751
149,2024-02,F3 Parramatta River,Free Travel,215
150,2024-02,F3 Parramatta River,School Student,3651
151,2024-02,F3 Parramatta River,Senior/Pensioner,29441
152,2024-02,F3 Parramatta River,Sgl Trip Ferry Adult,5190
153,2024-02,F3 Parramatta River,Sgl Trip Ferry Child/Youth,964
154,2024-02,F3 Parramatta River,UNKNOWN,0
155,2024-02,F4 Pyrmont Bay,Adult,59495
156,2024-02,F4 Pyrmont Bay,CTP,109812
157,2024-02,F4 Pyrmont Bay,Child/Youth,14406
158,2024-02,F4 Pyrmont Bay,Concession,2187
159,2024-02,F4 Pyrmont Bay,Day Pass without SAF,6
160,2024-02,F4 Pyrmont Bay,Employee,646
161,2024-02,F4 Pyrmont Bay,Free Travel,171
162,2024-02,F4 Pyrmont Bay,School Student,2171
