Year_Month,Card Type,Travel_Mode,Trip
Jul-16,Adult,Train,"22,145,198"
Jul-16,Adult,Bus,"13,146,432"
Jul-16,Adult,Light Rail,"595,732"
Jul-16,Adult,Ferry,"861,272"
Jul-16,Child/Youth,Train,"1,107,160"
Jul-16,Child/Youth,Bus,"1,079,640"
Jul-16,Child/Youth,Light Rail,"48,667"
Jul-16,Child/Youth,Ferry,"108,450"
Jul-16,Concession,Train,"2,105,013"
Jul-16,Concession,Bus,"1,845,322"
Jul-16,Concession,Light Rail,"27,107"
Jul-16,Concession,Ferry,"71,362"
Jul-16,Employee,Train,"264,074"
Jul-16,Employee,Bus,"64,989"
Jul-16,Employee,Light Rail,2
Jul-16,Employee,Ferry,"5,251"
Jul-16,Free Travel,Train,"24,395"
Jul-16,Free Travel,Bus,"25,228"
Jul-16,Free Travel,Light Rail,693
Jul-16,Free Travel,Ferry,"1,317"
Jul-16,LR-MST,Light Rail,"24,913"
Jul-16,School Student,Train,"511,309"
Jul-16,School Student,Bus,"1,297,240"
Jul-16,School Student,Light Rail,994
Jul-16,School Student,Ferry,"1,295"
Jul-16,Senior/Pensioner,Train,"2,567,262"
Jul-16,Senior/Pensioner,Bus,"3,739,658"
Jul-16,Senior/Pensioner,Light Rail,"128,228"
Jul-16,Senior/Pensioner,Ferry,"152,188"
Jul-16,Sgl Trip Ferry Adult,Ferry,"10,030"
Jul-16,Sgl Trip Ferry Child/Youth,Ferry,"2,547"
Jul-16,Sgl Trip LR Adult,Light Rail,"1,094"
Jul-16,Sgl Trip LR Child/Youth,Light Rail,302
Jul-16,Sgl Trip Rail Adult,Train,"75,274"
Jul-16,Sgl Trip Rail Child/Youth,Train,"19,564"
Aug-16,Adult,Train,"24,129,963"
Aug-16,Adult,Bus,"14,080,864"
Aug-16,Adult,Light Rail,"626,133"
Aug-16,Adult,Ferry,"773,097"
Aug-16,Adult Single Bus Trip 1,Bus,"213,548"
Aug-16,Adult Single Bus Trip 2,Bus,"149,890"
Aug-16,Adult Single Bus Trip 3,Bus,"60,625"
Aug-16,Child/Youth,Train,"946,988"
Aug-16,Child/Youth,Bus,"1,034,488"
Aug-16,Child/Youth,Light Rail,"40,298"
Aug-16,Child/Youth,Ferry,"81,256"
Aug-16,Child/Youth Single Bus Trip 1,Bus,"85,540"
Aug-16,Child/Youth Single Bus Trip 2,Bus,"52,781"
Aug-16,Child/Youth Single Bus Trip 3,Bus,"15,864"
Aug-16,Concession,Train,"2,656,456"
Aug-16,Concession,Bus,"2,168,046"
Aug-16,Concession,Light Rail,"31,569"
Aug-16,Concession,Ferry,"25,177"
Aug-16,Employee,Train,"304,666"
Aug-16,Employee,Bus,"73,112"
Aug-16,Employee,Ferry,"4,780"
Aug-16,Free Travel,Train,"30,830"
Aug-16,Free Travel,Bus,"32,202"
Aug-16,Free Travel,Light Rail,888
Aug-16,Free Travel,Ferry,"1,728"
Aug-16,School Student,Train,"1,125,676"
Aug-16,School Student,Bus,"3,135,595"
Aug-16,School Student,Light Rail,"4,940"
Aug-16,School Student,Ferry,"2,701"
Aug-16,Senior/Pensioner,Train,"2,849,358"
Aug-16,Senior/Pensioner,Bus,"4,108,217"
Aug-16,Senior/Pensioner,Light Rail,"134,404"
Aug-16,Senior/Pensioner,Ferry,"158,521"
Aug-16,Sgl Trip Ferry Adult,Ferry,"39,692"
Aug-16,Sgl Trip Ferry Child/Youth,Ferry,"8,103"
Aug-16,Sgl Trip LR Adult,Light Rail,"2,068"
Aug-16,Sgl Trip LR Child/Youth,Light Rail,500
Aug-16,Sgl Trip Rail Adult,Train,"296,696"
