Time period,Bus Contract Region,Card Type,Trip
7/1/16,Sydney Metro Contract 1,Adult,"390,433"
7/1/16,Sydney Metro Contract 1,Child/Youth,"62,800"
7/1/16,Sydney Metro Contract 1,Concession,"136,064"
7/1/16,Sydney Metro Contract 1,Free Opal,"1,149"
7/1/16,Sydney Metro Contract 1,School Opal,"138,642"
7/1/16,Sydney Metro Contract 1,Gold Opal,"206,110"
7/1/16,Sydney Metro Contract 2,Adult,"95,379"
7/1/16,Sydney Metro Contract 2,Child/Youth,"15,217"
7/1/16,Sydney Metro Contract 2,Concession,"37,534"
7/1/16,Sydney Metro Contract 2,Free Opal,663
7/1/16,Sydney Metro Contract 2,School Opal,"33,879"
7/1/16,Sydney Metro Contract 2,Gold Opal,"80,018"
7/1/16,Sydney Metro Contract 3,Adult,"358,199"
7/1/16,Sydney Metro Contract 3,Child/Youth,"48,558"
7/1/16,Sydney Metro Contract 3,Concession,"141,581"
7/1/16,Sydney Metro Contract 3,Other,1
7/1/16,Sydney Metro Contract 3,Free Opal,"1,299"
7/1/16,Sydney Metro Contract 3,School Opal,"69,157"
7/1/16,Sydney Metro Contract 3,Gold Opal,"242,938"
7/1/16,Sydney Metro Contract 4,Adult,"1,110,352"
7/1/16,Sydney Metro Contract 4,Child/Youth,"89,626"
7/1/16,Sydney Metro Contract 4,Concession,"143,585"
7/1/16,Sydney Metro Contract 4,Other,1
7/1/16,Sydney Metro Contract 4,Free Opal,"1,436"
7/1/16,Sydney Metro Contract 4,School Opal,"106,945"
7/1/16,Sydney Metro Contract 4,Gold Opal,"184,319"
7/1/16,Sydney Metro Contract 5,Adult,"101,718"
7/1/16,Sydney Metro Contract 5,Child/Youth,"16,248"
7/1/16,Sydney Metro Contract 5,Concession,"26,744"
7/1/16,Sydney Metro Contract 5,Free Opal,374
7/1/16,Sydney Metro Contract 5,School Opal,"18,869"
7/1/16,Sydney Metro Contract 5,Gold Opal,"97,341"
7/1/16,Sydney Metro Contract 6,Adult,"2,410,236"
7/1/16,Sydney Metro Contract 6,Child/Youth,"139,732"
7/1/16,Sydney Metro Contract 6,Concession,"262,299"
7/1/16,Sydney Metro Contract 6,Other,"19,783"
7/1/16,Sydney Metro Contract 6,Free Opal,"3,328"
7/1/16,Sydney Metro Contract 6,School Opal,"53,202"
7/1/16,Sydney Metro Contract 6,Gold Opal,"603,906"
7/1/16,Sydney Metro Contract 7,Adult,"1,615,630"
7/1/16,Sydney Metro Contract 7,Child/Youth,"128,451"
7/1/16,Sydney Metro Contract 7,Concession,"140,995"
7/1/16,Sydney Metro Contract 7,Other,"9,382"
7/1/16,Sydney Metro Contract 7,Free Opal,"2,229"
7/1/16,Sydney Metro Contract 7,School Opal,"93,651"
7/1/16,Sydney Metro Contract 7,Gold Opal,"337,392"
7/1/16,Sydney Metro Contract 8,Adult,"1,378,464"
7/1/16,Sydney Metro Contract 8,Child/Youth,"134,349"
7/1/16,Sydney Metro Contract 8,Concession,"105,937"
7/1/16,Sydney Metro Contract 8,Other,"10,210"
7/1/16,Sydney Metro Contract 8,Free Opal,"2,346"
7/1/16,Sydney Metro Contract 8,School Opal,"91,736"
7/1/16,Sydney Metro Contract 8,Gold Opal,"248,198"
7/1/16,Sydney Metro Contract 9,Adult,"4,376,415"
7/1/16,Sydney Metro Contract 9,Child/Youth,"208,559"
7/1/16,Sydney Metro Contract 9,Concession,"400,008"
7/1/16,Sydney Metro Contract 9,Other,"22,441"
7/1/16,Sydney Metro Contract 9,Free Opal,"4,861"
7/1/16,Sydney Metro Contract 9,School Opal,"55,279"
7/1/16,Sydney Metro Contract 9,Gold Opal,"795,776"
7/1/16,Sydney Metro Contract 10,Adult,"234,451"
7/1/16,Sydney Metro Contract 10,Child/Youth,"41,035"
7/1/16,Sydney Metro Contract 10,Concession,"52,410"
7/1/16,Sydney Metro Contract 10,Free Opal,966
7/1/16,Sydney Metro Contract 10,School Opal,"65,516"
7/1/16,Sydney Metro Contract 10,Gold Opal,"140,185"
7/1/16,Sydney Metro Contract 12,Adult,"83,809"
7/1/16,Sydney Metro Contract 12,Child/Youth,"25,578"
7/1/16,Sydney Metro Contract 12,Concession,"14,085"
7/1/16,Sydney Metro Contract 12,Free Opal,142
7/1/16,Sydney Metro Contract 12,School Opal,"56,735"
7/1/16,Sydney Metro Contract 12,Gold Opal,"32,213"
7/1/16,Sydney Metro Contract 13,Adult,"263,240"
7/1/16,Sydney Metro Contract 13,Child/Youth,"34,179"
7/1/16,Sydney Metro Contract 13,Concession,"76,144"
7/1/16,Sydney Metro Contract 13,Free Opal,686
7/1/16,Sydney Metro Contract 13,School Opal,"45,215"
7/1/16,Sydney Metro Contract 13,Gold Opal,"181,546"
7/1/16,Sydney Metro Contract 14,Adult,"200,819"
7/1/16,Sydney Metro Contract 14,Child/Youth,"38,057"
7/1/16,Sydney Metro Contract 14,Concession,"23,618"
7/1/16,Sydney Metro Contract 14,Free Opal,214
7/1/16,Sydney Metro Contract 14,School Opal,"34,611"
7/1/16,Sydney Metro Contract 14,Gold Opal,"42,259"
7/1/16,Sydney Metro Contract 15,Adult,"80,130"
7/1/16,Sydney Metro Contract 15,Child/Youth,"16,836"
7/1/16,Sydney Metro Contract 15,Concession,"43,454"
7/1/16,Sydney Metro Contract 15,Free Opal,685
7/1/16,Sydney Metro Contract 15,School Opal,"31,033"
7/1/16,Sydney Metro Contract 15,Gold Opal,"55,835"
7/1/16,Outer Sydney Metro Contract 1,Adult,"3,321"
7/1/16,Outer Sydney Metro Contract 1,Child/Youth,"1,202"
7/1/16,Outer Sydney Metro Contract 1,Concession,"3,995"
7/1/16,Outer Sydney Metro Contract 1,Free Opal,164
7/1/16,Outer Sydney Metro Contract 1,School Opal,"15,491"
7/1/16,Outer Sydney Metro Contract 1,Gold Opal,"6,197"
7/1/16,Outer Sydney Metro Contract 2,Adult,"13,604"
7/1/16,Outer Sydney Metro Contract 2,Child/Youth,"4,639"
7/1/16,Outer Sydney Metro Contract 2,Concession,"14,488"
7/1/16,Outer Sydney Metro Contract 2,Free Opal,397
7/1/16,Outer Sydney Metro Contract 2,School Opal,"68,344"
7/1/16,Outer Sydney Metro Contract 2,Gold Opal,"26,395"
7/1/16,Outer Sydney Metro Contract 3,Adult,"7,243"
7/1/16,Outer Sydney Metro Contract 3,Child/Youth,994
7/1/16,Outer Sydney Metro Contract 3,Concession,"5,628"
7/1/16,Outer Sydney Metro Contract 3,Free Opal,129
7/1/16,Outer Sydney Metro Contract 3,School Opal,"11,464"
7/1/16,Outer Sydney Metro Contract 3,Gold Opal,"7,850"
7/1/16,Outer Sydney Metro Contract 4,Adult,"14,356"
7/1/16,Outer Sydney Metro Contract 4,Child/Youth,"3,347"
7/1/16,Outer Sydney Metro Contract 4,Concession,"13,257"
7/1/16,Outer Sydney Metro Contract 4,Other,1
7/1/16,Outer Sydney Metro Contract 4,Free Opal,122
7/1/16,Outer Sydney Metro Contract 4,School Opal,"13,590"
7/1/16,Outer Sydney Metro Contract 4,Gold Opal,"24,258"
7/1/16,Outer Sydney Metro Contract 5,Adult,"102,580"
7/1/16,Outer Sydney Metro Contract 5,Child/Youth,"15,832"
7/1/16,Outer Sydney Metro Contract 5,Concession,"66,940"
7/1/16,Outer Sydney Metro Contract 5,Other,"3,156"
7/1/16,Outer Sydney Metro Contract 5,Free Opal,957
7/1/16,Outer Sydney Metro Contract 5,School Opal,"45,224"
7/1/16,Outer Sydney Metro Contract 5,Gold Opal,"124,570"
7/1/16,Outer Sydney Metro Contract 6,Adult,"92,105"
7/1/16,Outer Sydney Metro Contract 6,Child/Youth,"18,453"
7/1/16,Outer Sydney Metro Contract 6,Concession,"45,740"
7/1/16,Outer Sydney Metro Contract 6,Free Opal,"1,279"
7/1/16,Outer Sydney Metro Contract 6,School Opal,"44,997"
7/1/16,Outer Sydney Metro Contract 6,Gold Opal,"114,901"
7/1/16,Outer Sydney Metro Contract 7,Adult,"40,425"
7/1/16,Outer Sydney Metro Contract 7,Child/Youth,"9,970"
7/1/16,Outer Sydney Metro Contract 7,Concession,"25,285"
7/1/16,Outer Sydney Metro Contract 7,Free Opal,626
7/1/16,Outer Sydney Metro Contract 7,School Opal,"47,535"
7/1/16,Outer Sydney Metro Contract 7,Gold Opal,"53,142"
7/1/16,Outer Sydney Metro Contract 8,Adult,"31,266"
